Measures Filter,Date of Last Report ,Cumulative Incidence (c),Country or Subregion,Deaths,EW,Imported,Confirmed,Last_Report,Last Epidemiological Week Reported (a),Total Cases (b),Year,Population x 1000
,12/31/2016,,Antigua and Barbuda,,1,,,12/31/2016,-,,2016,94
,12/31/2016,,French Guiana,,1,,,12/31/2016,-,,2016,276
,12/31/2016,,Guyana,,1,,,12/31/2016,-,,2016,771
,12/31/2016,,Costa Rica,,1,,,12/31/2016,-,,2016,4857
,12/31/2016,,United States of America,,1,,,12/31/2016,-,,2016,324119
10,12/31/2016,0.02,Argentina,,2,,3,12/31/2016,2,10,2016,43847
0,12/31/2016,0,Canada,0,2,0,,12/31/2016,2,0,2016,0
0,12/31/2016,0,Virgin Islands (UK),,2,,0,12/31/2016,2,0,2016,34
0,12/31/2016,0,Cuba,0,2,0,0,12/31/2016,2,0,2016,11393
1,12/31/2016,0.9,Grenada,,2,,1,12/31/2016,2,1,2016,111
252,12/31/2016,8.99,Jamaica,,2,,10,12/31/2016,2,252,2016,2803
98,12/31/2016,0.08,Mexico,,2,,98,12/31/2016,2,98,2016,128632
174,12/31/2016,1.6,Haiti,,2,,,12/31/2016,2,174,2016,10848
2760,12/31/2016,33.7,Honduras,,2,,0,12/31/2016,2,"2,760",2016,8190
80,12/31/2016,108.11,Dominica,,2,,3,12/31/2016,2,80,2016,74
450,12/31/2016,4.23,Dominican Republic,,2,,29,12/31/2016,2,450,2016,10649
135,12/31/2016,0.81,Guatemala,,2,,38,12/31/2016,2,135,2016,16673
173,12/31/2016,1.06,Ecuador,,2,,64,12/31/2016,2,173,2016,16385
7073,12/31/2016,14.54,Colombia,,2,,897,12/31/2016,2,"7,073",2016,48654
4,12/31/2016,7.02,Cayman Islands,,2,,0,12/31/2016,2,4,2016,57
17658,12/31/2016,8.43,Brazil,,2,,"9,098",12/31/2016,2,"17,658",2016,209568
14,12/31/2016,3.81,Belize,,2,,1,12/31/2016,2,14,2016,367
0,12/31/2016,0,Chile,0,2,,0,12/31/2016,2,0,2016,18132
54,12/31/2016,18.56,Barbados,,2,,6,12/31/2016,2,54,2016,291
13,12/31/2016,3.31,Bahamas,,2,,0,12/31/2016,2,13,2016,393
17,12/31/2016,0.16,Bolivia,0,2,,2,12/31/2016,2,17,2016,10888
0,12/31/2016,0,Montserrat,,2,,0,12/31/2016,2,0,2016,5
102,12/31/2016,68,Curaçao,,2,,16,12/31/2016,2,102,2016,150
53,12/31/2016,46.49,Aruba,,2,,1,12/31/2016,2,53,2016,114
0,12/31/2016,,"Bonaire, Saint Eustatius and Saba",0,2,0,0,12/31/2016,2,0,2016,
0,12/31/2016,0,Nicaragua,0,2,0,0,12/31/2016,2,0,2016,6150
155,12/31/2016,3.88,Panama,,2,,19,12/31/2016,2,155,2016,3990
11,12/31/2016,0.16,Paraguay,,2,,0,12/31/2016,2,11,2016,6725
12,12/31/2016,0.04,Peru,,2,,11,12/31/2016,2,12,2016,31774
676,12/31/2016,18.36,Puerto Rico,,2,,676,12/31/2016,2,676,2016,3681
0,12/31/2016,0,Saint Barthelemy,0,2,0,0,12/31/2016,2,0,2016,9
0,12/31/2016,0,Saint Kitts and Nevis,,2,,0,12/31/2016,2,0,2016,52
0,12/31/2016,0,Anguilla,,2,,0,12/31/2016,2,0,2016,17
0,12/31/2016,0,Saint Lucia,0,2,0,0,12/31/2016,2,0,2016,164
0,12/31/2016,0,Saint Martin,0,2,0,0,12/31/2016,2,0,2016,32
8,12/31/2016,7.84,Saint Vincent and the Grenadines,,2,,4,12/31/2016,2,8,2016,102
474,12/31/2016,86.5,Suriname,,2,,124,12/31/2016,2,474,2016,548
2,12/31/2016,3.92,Turks and Caicos Islands,,2,,0,12/31/2016,2,2,2016,51
0,12/31/2016,0,Virgin Islands (US),0,2,0,0,12/31/2016,2,0,2016,103
,12/31/2016,,Guadeloupe,,2,,,12/31/2016,-,,2016,471
,12/31/2016,,Trinidad and Tobago,,2,,,12/31/2016,-,,2016,1365
,12/31/2016,,Venezuela,,2,,,12/31/2016,-,,2016,31519
,12/31/2016,,El Salvador,,2,,,12/31/2016,-,,2016,6146
,12/31/2016,,Martinique,,2,,,12/31/2016,-,,2016,396
,12/31/2016,,Antigua and Barbuda,,2,,,12/31/2016,-,,2016,94
,12/31/2016,,French Guiana,,2,,,12/31/2016,-,,2016,276
,12/31/2016,,Guyana,,2,,,12/31/2016,-,,2016,771
,12/31/2016,,Costa Rica,,2,,,12/31/2016,-,,2016,4857
,12/31/2016,,United States of America,,2,,,12/31/2016,-,,2016,324119
23,12/31/2016,0.05,Argentina,,3,,3,12/31/2016,3,23,2016,43847
0,12/31/2016,0,Canada,0,3,0,,12/31/2016,3,0,2016,0
0,12/31/2016,0,Virgin Islands (UK),,3,,0,12/31/2016,3,0,2016,34
0,12/31/2016,0,Cuba,0,3,0,0,12/31/2016,3,0,2016,11393
20,12/31/2016,18.02,Grenada,,3,,8,12/31/2016,3,20,2016,111
468,12/31/2016,16.7,Jamaica,,3,,21,12/31/2016,3,468,2016,2803
338,12/31/2016,0.26,Mexico,,3,,338,12/31/2016,3,338,2016,128632
366,12/31/2016,3.37,Haiti,,3,,,12/31/2016,3,366,2016,10848
4989,12/31/2016,60.92,Honduras,,3,,0,12/31/2016,3,"4,989",2016,8190
120,12/31/2016,162.16,Dominica,,3,,3,12/31/2016,3,120,2016,74
520,12/31/2016,4.88,Dominican Republic,,3,,32,12/31/2016,3,520,2016,10649
192,12/31/2016,1.15,Guatemala,,3,,55,12/31/2016,3,192,2016,16673
352,12/31/2016,2.15,Ecuador,,3,,88,12/31/2016,3,352,2016,16385
11727,12/31/2016,24.1,Colombia,,3,,"1,655",12/31/2016,3,"11,727",2016,48654
7,12/31/2016,12.28,Cayman Islands,,3,,1,12/31/2016,3,7,2016,57
27701,12/31/2016,13.22,Brazil,,3,,"13,854",12/31/2016,3,"27,701",2016,209568
41,12/31/2016,11.17,Belize,,3,,2,12/31/2016,3,41,2016,367
0,12/31/2016,0,Chile,0,3,,0,12/31/2016,3,0,2016,18132
7,12/31/2016,7.45,Antigua and Barbuda,,3,,5,12/31/2016,3,7,2016,94
108,12/31/2016,37.11,Barbados,,3,,8,12/31/2016,3,108,2016,291
24,12/31/2016,6.11,Bahamas,,3,,1,12/31/2016,3,24,2016,393
45,12/31/2016,0.41,Bolivia,0,3,,5,12/31/2016,3,45,2016,10888
0,12/31/2016,0,Montserrat,,3,,0,12/31/2016,3,0,2016,5
126,12/31/2016,84,Curaçao,,3,,20,12/31/2016,3,126,2016,150
73,12/31/2016,64.04,Aruba,,3,,2,12/31/2016,3,73,2016,114
0,12/31/2016,,"Bonaire, Saint Eustatius and Saba",0,3,0,0,12/31/2016,3,0,2016,
3,12/31/2016,0.05,Nicaragua,0,3,0,3,12/31/2016,3,3,2016,6150
182,12/31/2016,4.56,Panama,,3,,25,12/31/2016,3,182,2016,3990
14,12/31/2016,0.21,Paraguay,,3,,0,12/31/2016,3,14,2016,6725
13,12/31/2016,0.04,Peru,,3,,12,12/31/2016,3,13,2016,31774
2601,12/31/2016,70.66,Puerto Rico,,3,,"2,601",12/31/2016,3,"2,601",2016,3681
0,12/31/2016,0,Saint Barthelemy,0,3,0,0,12/31/2016,3,0,2016,9
1,12/31/2016,1.92,Saint Kitts and Nevis,,3,,0,12/31/2016,3,1,2016,52
0,12/31/2016,0,Anguilla,,3,,0,12/31/2016,3,0,2016,17
0,12/31/2016,0,Saint Lucia,0,3,0,0,12/31/2016,3,0,2016,164
4,12/31/2016,12.5,Saint Martin,0,3,0,1,12/31/2016,3,4,2016,32
80,12/31/2016,78.43,Saint Vincent and the Grenadines,,3,,15,12/31/2016,3,80,2016,102
869,12/31/2016,158.58,Suriname,,3,,231,12/31/2016,3,869,2016,548
12,12/31/2016,23.53,Turks and Caicos Islands,,3,,2,12/31/2016,3,12,2016,51
1,12/31/2016,0.97,Virgin Islands (US),0,3,0,1,12/31/2016,3,1,2016,103
,12/31/2016,,Guadeloupe,,3,,,12/31/2016,-,,2016,471
,12/31/2016,,Trinidad and Tobago,,3,,,12/31/2016,-,,2016,1365
,12/31/2016,,Venezuela,,3,,,12/31/2016,-,,2016,31519
,12/31/2016,,El Salvador,,3,,,12/31/2016,-,,2016,6146
,12/31/2016,,Martinique,,3,,,12/31/2016,-,,2016,396
,12/31/2016,,French Guiana,,3,,,12/31/2016,-,,2016,276
,12/31/2016,,Guyana,,3,,,12/31/2016,-,,2016,771
,12/31/2016,,Costa Rica,,3,,,12/31/2016,-,,2016,4857
,12/31/2016,,United States of America,,3,,,12/31/2016,-,,2016,324119
28,12/31/2016,0.06,Argentina,,4,,3,12/31/2016,4,28,2016,43847
0,12/31/2016,0,Canada,0,4,0,,12/31/2016,4,0,2016,0
15,12/31/2016,44.12,Virgin Islands (UK),,4,,0,12/31/2016,4,15,2016,34
0,12/31/2016,0,Cuba,0,4,0,0,12/31/2016,4,0,2016,11393
20,12/31/2016,18.02,Grenada,,4,,8,12/31/2016,4,20,2016,111
547,12/31/2016,19.51,Jamaica,,4,,22,12/31/2016,4,547,2016,2803
701,12/31/2016,0.54,Mexico,,4,,701,12/31/2016,4,701,2016,128632
618,12/31/2016,5.7,Haiti,,4,,,12/31/2016,4,618,2016,10848
7363,12/31/2016,89.9,Honduras,,4,,0,12/31/2016,4,"7,363",2016,8190
121,12/31/2016,163.51,Dominica,,4,,3,12/31/2016,4,121,2016,74
616,12/31/2016,5.78,Dominican Republic,,4,,41,12/31/2016,4,616,2016,10649
346,12/31/2016,2.08,Guatemala,,4,,98,12/31/2016,4,346,2016,16673
364,12/31/2016,2.22,Ecuador,,4,,89,12/31/2016,4,364,2016,16385
17668,12/31/2016,36.31,Colombia,,4,,"2,413",12/31/2016,4,"17,668",2016,48654
13,12/31/2016,22.81,Cayman Islands,,4,,2,12/31/2016,4,13,2016,57
38650,12/31/2016,18.44,Brazil,,4,,"19,027",12/31/2016,4,"38,650",2016,209568
70,12/31/2016,19.07,Belize,,4,,5,12/31/2016,4,70,2016,367
0,12/31/2016,0,Chile,0,4,,0,12/31/2016,4,0,2016,18132
49,12/31/2016,52.13,Antigua and Barbuda,,4,,5,12/31/2016,4,49,2016,94
196,12/31/2016,67.35,Barbados,,4,,21,12/31/2016,4,196,2016,291
30,12/31/2016,7.63,Bahamas,,4,,1,12/31/2016,4,30,2016,393
59,12/31/2016,0.54,Bolivia,0,4,,5,12/31/2016,4,59,2016,10888
0,12/31/2016,0,Montserrat,,4,,0,12/31/2016,4,0,2016,5
267,12/31/2016,178,Curaçao,,4,,82,12/31/2016,4,267,2016,150
92,12/31/2016,80.7,Aruba,,4,,4,12/31/2016,4,92,2016,114
0,12/31/2016,,"Bonaire, Saint Eustatius and Saba",0,4,0,0,12/31/2016,4,0,2016,
29,12/31/2016,0.47,Nicaragua,0,4,0,29,12/31/2016,4,29,2016,6150
281,12/31/2016,7.04,Panama,,4,,46,12/31/2016,4,281,2016,3990
15,12/31/2016,0.22,Paraguay,,4,,0,12/31/2016,4,15,2016,6725
46,12/31/2016,0.14,Peru,,4,,30,12/31/2016,4,46,2016,31774
3494,12/31/2016,94.92,Puerto Rico,,4,,"3,494",12/31/2016,4,"3,494",2016,3681
0,12/31/2016,0,Saint Barthelemy,0,4,0,0,12/31/2016,4,0,2016,9
90,12/31/2016,173.08,Saint Kitts and Nevis,,4,,11,12/31/2016,4,90,2016,52
0,12/31/2016,0,Anguilla,,4,,0,12/31/2016,4,0,2016,17
0,12/31/2016,0,Saint Lucia,0,4,0,0,12/31/2016,4,0,2016,164
18,12/31/2016,56.25,Saint Martin,0,4,0,1,12/31/2016,4,18,2016,32
88,12/31/2016,86.27,Saint Vincent and the Grenadines,,4,,15,12/31/2016,4,88,2016,102
1278,12/31/2016,233.21,Suriname,,4,,310,12/31/2016,4,"1,278",2016,548
21,12/31/2016,41.18,Turks and Caicos Islands,,4,,3,12/31/2016,4,21,2016,51
1,12/31/2016,0.97,Virgin Islands (US),0,4,0,1,12/31/2016,4,1,2016,103
,12/31/2016,,Guadeloupe,,4,,,12/31/2016,-,,2016,471
,12/31/2016,,Trinidad and Tobago,,4,,,12/31/2016,-,,2016,1365
,12/31/2016,,Venezuela,,4,,,12/31/2016,-,,2016,31519
,12/31/2016,,El Salvador,,4,,,12/31/2016,-,,2016,6146
,12/31/2016,,Martinique,,4,,,12/31/2016,-,,2016,396
,12/31/2016,,French Guiana,,4,,,12/31/2016,-,,2016,276
,12/31/2016,,Guyana,,4,,,12/31/2016,-,,2016,771
,12/31/2016,,Costa Rica,,4,,,12/31/2016,-,,2016,4857
,12/31/2016,,United States of America,,4,,,12/31/2016,-,,2016,324119
35,12/31/2016,0.08,Argentina,,5,,3,12/31/2016,5,35,2016,43847
0,12/31/2016,0,Canada,0,5,0,,12/31/2016,5,0,2016,0
15,12/31/2016,44.12,Virgin Islands (UK),,5,,0,12/31/2016,5,15,2016,34
0,12/31/2016,0,Cuba,0,5,0,0,12/31/2016,5,0,2016,11393
21,12/31/2016,18.92,Grenada,,5,,8,12/31/2016,5,21,2016,111
724,12/31/2016,25.83,Jamaica,,5,,22,12/31/2016,5,724,2016,2803
745,12/31/2016,0.58,Mexico,,5,,745,12/31/2016,5,745,2016,128632
913,12/31/2016,8.42,Haiti,,5,,,12/31/2016,5,913,2016,10848
9529,12/31/2016,116.35,Honduras,,5,,0,12/31/2016,5,"9,529",2016,8190
121,12/31/2016,163.51,Dominica,,5,,3,12/31/2016,5,121,2016,74
530,12/31/2016,3.18,Guatemala,,5,,144,12/31/2016,5,530,2016,16673
742,12/31/2016,6.97,Dominican Republic,,5,,52,12/31/2016,5,742,2016,10649
379,12/31/2016,2.31,Ecuador,,5,,91,12/31/2016,5,379,2016,16385
24089,12/31/2016,49.51,Colombia,,5,,"3,064",12/31/2016,5,"24,089",2016,48654
15,12/31/2016,26.32,Cayman Islands,,5,,2,12/31/2016,5,15,2016,57
52069,12/31/2016,24.85,Brazil,,5,,"25,545",12/31/2016,5,"52,069",2016,209568
100,12/31/2016,27.25,Belize,,5,,7,12/31/2016,5,100,2016,367
0,12/31/2016,0,Chile,0,5,,0,12/31/2016,5,0,2016,18132
49,12/31/2016,52.13,Antigua and Barbuda,,5,,5,12/31/2016,5,49,2016,94
288,12/31/2016,98.97,Barbados,,5,,34,12/31/2016,5,288,2016,291
36,12/31/2016,9.16,Bahamas,,5,,1,12/31/2016,5,36,2016,393
80,12/31/2016,0.73,Bolivia,0,5,,7,12/31/2016,5,80,2016,10888
4,12/31/2016,80,Montserrat,,5,,0,12/31/2016,5,4,2016,5
443,12/31/2016,295.33,Curaçao,,5,,128,12/31/2016,5,443,2016,150
114,12/31/2016,100,Aruba,,5,,7,12/31/2016,5,114,2016,114
0,12/31/2016,,"Bonaire, Saint Eustatius and Saba",0,5,0,0,12/31/2016,5,0,2016,
45,12/31/2016,0.73,Nicaragua,0,5,0,45,12/31/2016,5,45,2016,6150
461,12/31/2016,11.55,Panama,,5,,73,12/31/2016,5,461,2016,3990
19,12/31/2016,0.28,Paraguay,,5,,0,12/31/2016,5,19,2016,6725
168,12/31/2016,0.53,Peru,,5,,71,12/31/2016,5,168,2016,31774
3574,12/31/2016,97.09,Puerto Rico,,5,,"3,574",12/31/2016,5,"3,574",2016,3681
0,12/31/2016,0,Saint Barthelemy,0,5,0,0,12/31/2016,5,0,2016,9
91,12/31/2016,175,Saint Kitts and Nevis,,5,,11,12/31/2016,5,91,2016,52
0,12/31/2016,0,Anguilla,,5,,0,12/31/2016,5,0,2016,17
0,12/31/2016,0,Saint Lucia,0,5,0,0,12/31/2016,5,0,2016,164
36,12/31/2016,112.5,Saint Martin,0,5,0,1,12/31/2016,5,36,2016,32
95,12/31/2016,93.14,Saint Vincent and the Grenadines,,5,,15,12/31/2016,5,95,2016,102
1631,12/31/2016,297.63,Suriname,,5,,356,12/31/2016,5,"1,631",2016,548
23,12/31/2016,45.1,Turks and Caicos Islands,,5,,3,12/31/2016,5,23,2016,51
1,12/31/2016,0.97,Virgin Islands (US),0,5,0,1,12/31/2016,5,1,2016,103
,12/31/2016,,Guadeloupe,,5,,,12/31/2016,-,,2016,471
,12/31/2016,,Trinidad and Tobago,,5,,,12/31/2016,-,,2016,1365
,12/31/2016,,Venezuela,,5,,,12/31/2016,-,,2016,31519
,12/31/2016,,El Salvador,,5,,,12/31/2016,-,,2016,6146
,12/31/2016,,Martinique,,5,,,12/31/2016,-,,2016,396
,12/31/2016,,French Guiana,,5,,,12/31/2016,-,,2016,276
,12/31/2016,,Guyana,,5,,,12/31/2016,-,,2016,771
,12/31/2016,,Costa Rica,,5,,,12/31/2016,-,,2016,4857
,12/31/2016,,United States of America,,5,,,12/31/2016,-,,2016,324119
38,12/31/2016,0.09,Argentina,,6,,3,12/31/2016,6,38,2016,43847
15,12/31/2016,44.12,Virgin Islands (UK),,6,,0,12/31/2016,6,15,2016,34
0,12/31/2016,0,Canada,0,6,0,,12/31/2016,6,0,2016,0
0,12/31/2016,0,Cuba,0,6,0,0,12/31/2016,6,0,2016,11393
21,12/31/2016,18.92,Grenada,,6,,8,12/31/2016,6,21,2016,111
824,12/31/2016,29.4,Jamaica,,6,,23,12/31/2016,6,824,2016,2803
782,12/31/2016,0.61,Mexico,,6,,782,12/31/2016,6,782,2016,128632
1103,12/31/2016,10.17,Haiti,,6,,,12/31/2016,6,"1,103",2016,10848
12088,12/31/2016,147.59,Honduras,,6,,0,12/31/2016,6,"12,088",2016,8190
121,12/31/2016,163.51,Dominica,,6,,3,12/31/2016,6,121,2016,74
741,12/31/2016,4.44,Guatemala,,6,,182,12/31/2016,6,741,2016,16673
826,12/31/2016,7.76,Dominican Republic,,6,,56,12/31/2016,6,826,2016,10649
391,12/31/2016,2.39,Ecuador,,6,,98,12/31/2016,6,391,2016,16385
29617,12/31/2016,60.87,Colombia,,6,,"3,573",12/31/2016,6,"29,617",2016,48654
16,12/31/2016,28.07,Cayman Islands,,6,,2,12/31/2016,6,16,2016,57
67806,12/31/2016,32.36,Brazil,,6,,"33,102",12/31/2016,6,"67,806",2016,209568
101,12/31/2016,27.52,Belize,,6,,7,12/31/2016,6,101,2016,367
0,12/31/2016,0,Chile,0,6,,0,12/31/2016,6,0,2016,18132
49,12/31/2016,52.13,Antigua and Barbuda,,6,,5,12/31/2016,6,49,2016,94
356,12/31/2016,122.34,Barbados,,6,,51,12/31/2016,6,356,2016,291
43,12/31/2016,10.94,Bahamas,,6,,1,12/31/2016,6,43,2016,393
111,12/31/2016,1.02,Bolivia,0,6,,8,12/31/2016,6,111,2016,10888
4,12/31/2016,80,Montserrat,,6,,0,12/31/2016,6,4,2016,5
530,12/31/2016,353.33,Curaçao,,6,,140,12/31/2016,6,530,2016,150
141,12/31/2016,123.68,Aruba,,6,,10,12/31/2016,6,141,2016,114
0,12/31/2016,,"Bonaire, Saint Eustatius and Saba",0,6,0,0,12/31/2016,6,0,2016,
70,12/31/2016,1.14,Nicaragua,0,6,0,70,12/31/2016,6,70,2016,6150
499,12/31/2016,12.51,Panama,,6,,88,12/31/2016,6,499,2016,3990
21,12/31/2016,0.31,Paraguay,,6,,0,12/31/2016,6,21,2016,6725
171,12/31/2016,0.54,Peru,,6,,74,12/31/2016,6,171,2016,31774
3664,12/31/2016,99.54,Puerto Rico,,6,,"3,664",12/31/2016,6,"3,664",2016,3681
0,12/31/2016,0,Saint Barthelemy,0,6,0,0,12/31/2016,6,0,2016,9
91,12/31/2016,175,Saint Kitts and Nevis,,6,,11,12/31/2016,6,91,2016,52
0,12/31/2016,0,Anguilla,,6,,0,12/31/2016,6,0,2016,17
0,12/31/2016,0,Saint Lucia,0,6,0,0,12/31/2016,6,0,2016,164
51,12/31/2016,159.38,Saint Martin,0,6,0,7,12/31/2016,6,51,2016,32
99,12/31/2016,97.06,Saint Vincent and the Grenadines,,6,,15,12/31/2016,6,99,2016,102
1906,12/31/2016,347.81,Suriname,,6,,404,12/31/2016,6,"1,906",2016,548
26,12/31/2016,50.98,Turks and Caicos Islands,,6,,3,12/31/2016,6,26,2016,51
46,12/31/2016,44.66,Virgin Islands (US),0,6,0,1,12/31/2016,6,46,2016,103
,12/31/2016,,Guadeloupe,,6,,,12/31/2016,-,,2016,471
,12/31/2016,,Trinidad and Tobago,,6,,,12/31/2016,-,,2016,1365
,12/31/2016,,Venezuela,,6,,,12/31/2016,-,,2016,31519
,12/31/2016,,El Salvador,,6,,,12/31/2016,-,,2016,6146
,12/31/2016,,Martinique,,6,,,12/31/2016,-,,2016,396
,12/31/2016,,French Guiana,,6,,,12/31/2016,-,,2016,276
,12/31/2016,,Guyana,,6,,,12/31/2016,-,,2016,771
,12/31/2016,,Costa Rica,,6,,,12/31/2016,-,,2016,4857
,12/31/2016,,United States of America,,6,,,12/31/2016,-,,2016,324119
39,12/31/2016,0.09,Argentina,,7,,4,12/31/2016,7,39,2016,43847
34445,12/31/2016,70.8,Colombia,,7,,"3,973",12/31/2016,7,"34,445",2016,48654
15,12/31/2016,44.12,Virgin Islands (UK),,7,,0,12/31/2016,7,15,2016,34
0,12/31/2016,0,Canada,0,7,0,,12/31/2016,7,0,2016,0
0,12/31/2016,0,Cuba,0,7,0,0,12/31/2016,7,0,2016,11393
925,12/31/2016,33,Jamaica,,7,,23,12/31/2016,7,925,2016,2803
806,12/31/2016,0.63,Mexico,,7,,806,12/31/2016,7,806,2016,128632
1408,12/31/2016,12.98,Haiti,,7,,,12/31/2016,7,"1,408",2016,10848
13602,12/31/2016,166.08,Honduras,,7,,0,12/31/2016,7,"13,602",2016,8190
21,12/31/2016,18.92,Grenada,,7,,8,12/31/2016,7,21,2016,111
121,12/31/2016,163.51,Dominica,,7,,3,12/31/2016,7,121,2016,74
892,12/31/2016,5.35,Guatemala,,7,,212,12/31/2016,7,892,2016,16673
939,12/31/2016,8.82,Dominican Republic,,7,,57,12/31/2016,7,939,2016,10649
406,12/31/2016,2.48,Ecuador,,7,,105,12/31/2016,7,406,2016,16385
18,12/31/2016,31.58,Cayman Islands,,7,,2,12/31/2016,7,18,2016,57
89805,12/31/2016,42.85,Brazil,,7,,"43,539",12/31/2016,7,"89,805",2016,209568
102,12/31/2016,27.79,Belize,,7,,7,12/31/2016,7,102,2016,367
0,12/31/2016,0,Chile,0,7,,0,12/31/2016,7,0,2016,18132
49,12/31/2016,52.13,Antigua and Barbuda,,7,,5,12/31/2016,7,49,2016,94
404,12/31/2016,138.83,Barbados,,7,,55,12/31/2016,7,404,2016,291
49,12/31/2016,12.47,Bahamas,,7,,1,12/31/2016,7,49,2016,393
168,12/31/2016,1.54,Bolivia,0,7,,9,12/31/2016,7,168,2016,10888
4,12/31/2016,80,Montserrat,,7,,0,12/31/2016,7,4,2016,5
674,12/31/2016,449.33,Curaçao,,7,,159,12/31/2016,7,674,2016,150
173,12/31/2016,151.75,Aruba,,7,,14,12/31/2016,7,173,2016,114
1,12/31/2016,,"Bonaire, Saint Eustatius and Saba",0,7,0,1,12/31/2016,7,1,2016,
81,12/31/2016,1.32,Nicaragua,0,7,0,81,12/31/2016,7,81,2016,6150
543,12/31/2016,13.61,Panama,,7,,111,12/31/2016,7,543,2016,3990
21,12/31/2016,0.31,Paraguay,,7,,0,12/31/2016,7,21,2016,6725
173,12/31/2016,0.54,Peru,,7,,76,12/31/2016,7,173,2016,31774
3754,12/31/2016,101.98,Puerto Rico,,7,,"3,754",12/31/2016,7,"3,754",2016,3681
0,12/31/2016,0,Saint Barthelemy,0,7,0,0,12/31/2016,7,0,2016,9
91,12/31/2016,175,Saint Kitts and Nevis,,7,,11,12/31/2016,7,91,2016,52
0,12/31/2016,0,Anguilla,,7,,0,12/31/2016,7,0,2016,17
0,12/31/2016,0,Saint Lucia,0,7,0,0,12/31/2016,7,0,2016,164
67,12/31/2016,209.38,Saint Martin,0,7,0,11,12/31/2016,7,67,2016,32
106,12/31/2016,103.92,Saint Vincent and the Grenadines,,7,,16,12/31/2016,7,106,2016,102
