Measures Filter,Date of Last Report ,Cumulative Incidence (c),Country or Subregion,Deaths,EW,Imported,Confirmed,Last_Report,Last Epidemiological Week Reported (a),Total Cases (b),Year,Population x 1000
2,12/31/2016,0,Argentina,,1,,0,12/31/2016,1,2,2016,43847
0,12/31/2016,0,Canada,0,1,0,,12/31/2016,1,0,2016,0
0,12/31/2016,0,Virgin Islands (UK),,1,,0,12/31/2016,1,0,2016,34
0,12/31/2016,0,Cuba,0,1,0,0,12/31/2016,1,0,2016,11393
81,12/31/2016,2.89,Jamaica,,1,,2,12/31/2016,1,81,2016,2803
40,12/31/2016,0.03,Mexico,,1,,40,12/31/2016,1,40,2016,128632
142,12/31/2016,1.31,Haiti,,1,,,12/31/2016,1,142,2016,10848
956,12/31/2016,11.67,Honduras,,1,,0,12/31/2016,1,956,2016,8190
4,12/31/2016,5.41,Dominica,,1,,0,12/31/2016,1,4,2016,74
163,12/31/2016,1.53,Dominican Republic,,1,,6,12/31/2016,1,163,2016,10649
74,12/31/2016,0.44,Guatemala,,1,,27,12/31/2016,1,74,2016,16673
11,12/31/2016,0.07,Ecuador,,1,,8,12/31/2016,1,11,2016,16385
3618,12/31/2016,7.44,Colombia,,1,,345,12/31/2016,1,"3,618",2016,48654
2,12/31/2016,3.51,Cayman Islands,,1,,0,12/31/2016,1,2,2016,57
8740,12/31/2016,4.17,Brazil,,1,,"4,504",12/31/2016,1,"8,740",2016,209568
2,12/31/2016,0.54,Belize,,1,,0,12/31/2016,1,2,2016,367
0,12/31/2016,0,Chile,0,1,,0,12/31/2016,1,0,2016,18132
23,12/31/2016,7.9,Barbados,,1,,6,12/31/2016,1,23,2016,291
8,12/31/2016,2.04,Bahamas,,1,,0,12/31/2016,1,8,2016,393
8,12/31/2016,0.07,Bolivia,0,1,,2,12/31/2016,1,8,2016,10888
0,12/31/2016,0,Montserrat,,1,,0,12/31/2016,1,0,2016,5
51,12/31/2016,34,Curaçao,,1,,7,12/31/2016,1,51,2016,150
33,12/31/2016,28.95,Aruba,,1,,0,12/31/2016,1,33,2016,114
0,12/31/2016,,"Bonaire, Saint Eustatius and Saba",0,1,0,0,12/31/2016,1,0,2016,
0,12/31/2016,0,Nicaragua,0,1,0,0,12/31/2016,1,0,2016,6150
62,12/31/2016,1.55,Panama,,1,,15,12/31/2016,1,62,2016,3990
2,12/31/2016,0.03,Paraguay,,1,,0,12/31/2016,1,2,2016,6725
1,12/31/2016,0,Peru,,1,,1,12/31/2016,1,1,2016,31774
99,12/31/2016,2.69,Puerto Rico,,1,,99,12/31/2016,1,99,2016,3681
0,12/31/2016,0,Saint Barthelemy,0,1,0,0,12/31/2016,1,0,2016,9
0,12/31/2016,0,Saint Kitts and Nevis,,1,,0,12/31/2016,1,0,2016,52
0,12/31/2016,0,Anguilla,,1,,0,12/31/2016,1,0,2016,17
0,12/31/2016,0,Saint Lucia,0,1,0,0,12/31/2016,1,0,2016,164
0,12/31/2016,0,Saint Martin,0,1,0,0,12/31/2016,1,0,2016,32
1,12/31/2016,0.98,Saint Vincent and the Grenadines,,1,,0,12/31/2016,1,1,2016,102
246,12/31/2016,44.89,Suriname,,1,,68,12/31/2016,1,246,2016,548
2,12/31/2016,3.92,Turks and Caicos Islands,,1,,0,12/31/2016,1,2,2016,51
0,12/31/2016,0,Virgin Islands (US),0,1,0,0,12/31/2016,1,0,2016,103
,12/31/2016,,Grenada,,1,,,12/31/2016,-,,2016,111
,12/31/2016,,Guadeloupe,,1,,,12/31/2016,-,,2016,471
,12/31/2016,,Trinidad and Tobago,,1,,,12/31/2016,-,,2016,1365
,12/31/2016,,Venezuela,,1,,,12/31/2016,-,,2016,31519
,12/31/2016,,El Salvador,,1,,,12/31/2016,-,,2016,6146
,12/31/2016,,Martinique,,1,,,12/31/2016,-,,2016,396
