Measures Filter,Date of Last Report ,Cumulative Incidence (c),Country or Subregion,Deaths,EW,Imported,Confirmed,Last_Report,Last Epidemiological Week Reported (a),Total Cases (b),Year,Population x 1000
0,1/2/2016,0,Nicaragua,0,3,0,0,1/2/2016,3,0,2015,6257
0,1/2/2016,0,Panama,0,3,0,0,1/2/2016,3,0,2015,3988
0,1/2/2016,0,Paraguay,0,3,0,0,1/2/2016,3,0,2015,7033
0,1/2/2016,0,Peru,0,3,0,0,1/2/2016,3,0,2015,31161
0,1/2/2016,0,Puerto Rico,0,3,0,0,1/2/2016,3,0,2015,3680
0,1/2/2016,0,Saint Barthelemy,0,3,0,0,1/2/2016,3,0,2015,9
0,1/2/2016,0,Anguilla,0,3,0,0,1/2/2016,3,0,2015,16
0,1/2/2016,0,Saint Lucia,0,3,0,0,1/2/2016,3,0,2015,164
0,1/2/2016,0,Saint Martin,0,3,0,0,1/2/2016,3,0,2015,32
0,1/2/2016,0,Saint Vincent and the Grenadines,0,3,0,0,1/2/2016,3,0,2015,103
0,1/2/2016,0,Suriname,0,3,0,0,1/2/2016,3,0,2015,548
0,1/2/2016,0,Trinidad and Tobago,0,3,0,0,1/2/2016,3,0,2015,1347
0,1/2/2016,0,United States of America,0,3,,0,1/2/2016,3,0,2015,325128
0,1/2/2016,0,Virgin Islands (US),0,3,0,0,1/2/2016,3,0,2015,104
0,1/2/2016,0,Venezuela,0,3,0,0,1/2/2016,3,0,2015,31293
,1/2/2016,,Saint Kitts and Nevis,,3,,,1/2/2016,-,,2015,52
,12/29/2018,,Barbados,,3,,,12/29/2018,-,,2015,291
,1/2/2016,,Virgin Islands (UK),,3,,,1/2/2016,-,,2015,33
,1/2/2016,,Virgin Islands (UK),,3,,,1/2/2016,-,,2015,33
,1/2/2016,,Turks and Caicos Islands,,3,,,1/2/2016,-,,2015,50
,1/2/2016,,Guatemala,,3,,,1/2/2016,-,,2015,16255
0,1/2/2016,0,Argentina,0,4,0,0,1/2/2016,4,0,2015,42155
0,1/2/2016,0,Canada,0,4,0,,1/2/2016,4,0,2015,0
0,1/2/2016,0,Virgin Islands (UK),,4,,0,1/2/2016,4,0,2015,33
0,1/2/2016,0,Virgin Islands (UK),,4,,0,1/2/2016,4,0,2015,33
0,1/2/2016,0,Costa Rica,0,4,0,0,1/2/2016,4,0,2015,5002
0,1/2/2016,0,Cuba,0,4,0,0,1/2/2016,4,0,2015,11249
0,1/2/2016,0,Grenada,0,4,0,0,1/2/2016,4,0,2015,111
0,1/2/2016,0,Guyana,0,4,0,0,1/2/2016,4,0,2015,808
0,1/2/2016,0,Jamaica,0,4,0,0,1/2/2016,4,0,2015,2813
